87.6,FRANCE INTER,
87.8,FRANCE INTER,
88.2,GENERATIONS,
88.6,Radio Soleil,
89.0,RFI,
89.4,RADIO LIBERTAIRE,
89.9,TSF Jazz,
90.4,Nostalgie,
90.9,CHANTE FRANCE,
91.3,CHERIE FM,
91.7,FRANCE MUSIQUE,
92.1,LE MOUV',
92.6,TROPIQUES FM,
92.9,RMP (reggae),
93.1,ALIGRE FM et CAUSE COMMUNE,
93.1,RADIO PAYS,
93.5,FRANCE CULTURE,
93.9,RADIO CAMPUS PARIS,
93.9,VIVRE FM,
94.3,Radio Orient,
94.8,JUDAIQUES FM,
94.8,RADIO J,
94.8,RADIO SHALOM,
94.8,RCJ,
95.2,ICI ET MAINTENANT,
95.2,NEO,
95.6,RADIO COURTOISIE,
96.0,Skyrock,
96.4,BFM Business,
96.9,VOLTAGE,
97.4,Rire et Chansons,
97.8,ADO FM,
98.0,Radio ENGHIEN,
98.2,Radio FG,
98.6,RADIO ALFA,
98.8,ESPACE FM (caribéen),
99.0,RADIO LATINA,
99.5,AYP FM,
99.5,FRANCE MAGHREB,
99.9,SUD RADIO +,
100.3,NRJ,
100.7,FREQUENCE PROTESTANTE,
100.7,RADIO NOTRE DAME,
101.1,Radio Classique,
101.5,Radio Nova,
101.9,Fun Radio,
102.3,OUI FM,
102.7,MFM Radio,
103.1,RMC,
103.5,EUROPE 2,
103.9,RFM,
104.3,RTL,
104.7,EUROPE 1,
105.1,FIP,
105.5,FRANCE INFO,
105.9,RTL 2,
106.3,FREQUENCE PARIS PLURIELLE,
106.7,Beur FM,
107.1,FRANCE BLEU ILE DE FRANCE,
107.5,AFRICA N° 1,
107.7,Autoroute FM 